0,1,song,id,distancias
-0.174795539199881,-0.7312515091340298,Coldplay - Yellow,3AJwUDP919kvQ9QcozQPxg,3.805170773618651
1.3584204049040616,-0.0529351562084565,OutKast - Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,3.0394522499286585
0.9264638725159748,-1.2920909590773744,3 Doors Down - Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,4.232952179419956
1.710076660129224,0.38350234653999504,Eminem - The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,2.704442203950303
1.8504921909087326,-1.129254572337253,Disturbed - Down with the Sickness,40rvBMQizxkIqnjPdEWY1v,4.195706283719171
1.2413223447307957,-0.5341521885567584,Nelly - Ride Wit Me,3Gf5nttwcX9aaSQXRWidEZ,3.498469695879712
1.6340378485999563,-0.3996553019058672,Eminem - Stan,3UmaczJpikHgJFyBTAJVoz,3.435494187798922
1.78725288225703,-1.482026226181162,*NSYNC - Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,4.524793941826332
1.517607262162123,-0.31271354100198245,Britney Spears - Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,3.324926987966061
-2.852794086377057,-0.0884243111646741,Coldplay - Sparks,7D0RhFcb3CrfPuTJ0obrod,4.765504476914956
1.3242358910326208,-0.1873844941205277,Shaggy - It Wasn't Me,3WkibOpDF7cQ5xntM1epyf,3.1663690062391896
1.299794016446476,-0.5956489307767939,Nelly - Country Grammar (Hot Shit),3wMUvT6eIw2L5cZFG1yH9j,3.566820532721381
-0.1879227555792103,-1.4971945557447695,The Beatles - Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl,4.55147585592618
0.4995923814022841,-0.7077206392721078,The Beatles - I Want To Hold Your Hand - Remastered 2015,4pbG9SUmWIvsROVLF0zF9s,3.66207324568356
0.804457453521572,-1.5281252127579852,Lifehouse - Hanging By A Moment,0wqOReZDnrefefEsrIGeR4,4.467873258948855
1.4533194971162415,-0.5514603555323732,"OutKast - So Fresh, So Clean",6glsMWIMIxQ4BedzLqGVi4,3.5468963902893043
-0.6365258992729637,0.06332525107019225,Sam Cooke - (What A) Wonderful World,2g2GkH3vZHk4lWzBjgQ6nY,3.227267656968023
1.670648679638036,-1.0870808664992915,Limp Bizkit - Rollin' (Air Raid Vehicle),3IV4swNduIRunHREK80owz,4.114208935830455
1.9682133825161547,-0.5183736719996295,Shaggy - Angel,7FDV5ELOJHCGLe52AnttEd,3.641522539861461
1.657860614791676,-0.22017913718659485,Eminem - The Way I Am,23wfXwnsPZYe5A1xXRHb3J,3.2672904948962684
0.1460438357484883,-2.4557289631047157,Deftones - Change (In the House of Flies),51c94ac31swyDQj9B3Lzs3,5.438216621309181
1.7376422175812563,-1.479542912018293,*NSYNC - It's Gonna Be Me,2AW37v0bDyuOzGP3XnmFuA,4.512093136224589
1.5860790036329957,-0.9044363112169792,Britney Spears - My Only Wish (This Year),0YWUHZPJVg4iujddsJDwhM,3.9183655070301664
0.8428155798385114,-2.134540304909748,U2 - Beautiful Day,1VuBmEauSZywQVtqbxNqka,5.074256502148049
-1.5552671222163128,-0.16242058464964312,Sam Cooke - Bring It On Home to Me,0WVTQp3SOCuMr08jh1jweV,3.9112757085703502
2.2489969796258698,-0.7578092425014662,Ludacris - What's Your Fantasy (Featuring Shawna),4LwOrnuxJwR7C5Sw4liY4Z,3.961529561376811
0.6071424054086151,-2.13618821108426,Godsmack - Awake,6xXlurslWqFuyqTCBlErzX,5.080636885758179
0.9563749042458969,-1.1550368999860738,Christina Aguilera - This Christmas,32h59T8q2SonUPJ006lyXt,4.096773072276765
-0.2951543681237714,-2.1195806940942017,A Perfect Circle - Judith,5KDNFlHAdDJ84fhK27c35X,5.182215938861442
-2.4022573592006378,0.177481626986069,Sam Cooke - You Send Me,5aivQ5CkXXHJoMLy0o92HL,4.249424754861149
1.2555649308945014,0.4605754814636852,Eminem - Kill You,5eGEc27nnhtmcOh6RC890a,2.5158940468491067
0.19543379443745565,-1.268109758186032,Joe - I Wanna Know,1m2xMsxbtxv21Brome189p,4.254927588664781
1.3235761347798816,-1.8289411802285356,Limp Bizkit - My Way,2gSVKxPDww9Eep5rdvtdem,4.794422802717501
0.018173315683222092,-1.353363767763361,*NSYNC - This I Promise You,46n2EGFnPC3tzWCN1Aqe26,4.368575214052594
1.7084043224950098,-0.7440726770518891,Ja Rule - Put It On Me,0OvwzS8FX73Bw7ykMRmffU,3.7877528943237833
-2.928651805135925,-0.5155543735640166,Christina Aguilera - Have Yourself a Merry Little Christmas,0iV9yfj1knFNOSEiuTHZwl,5.103263715472723
1.7900878692847668,-2.202298570153232,Rage Against The Machine - Renegades Of Funk,5YBVDvTSSSiqv7KZDeUlXA,5.231413501073821
1.6034675092327872,-1.4560410421267944,OutKast - B.O.B. - Bombs Over Baghdad,3WibbMr6canxRJXhNtAvLU,4.463791722978533
-0.4143202947748938,-1.555280832497451,Matchbox Twenty - If You're Gone,2f5N826udWfjT9iomeaBJt,4.663211128807359
-0.39921723661108593,-0.4957488207747188,Erykah Badu - Didn't Cha Know,7pv80uUHfocFqfTytu1MVi,3.647704233327739
-5.425358051801467,-0.04092248460123829,Enya - Only Time,6FLwmdmW77N1Pxb1aWsZmO,6.926432616784889
0.8630436055260384,-0.8793810603834702,Mindless Self Indulgence - Faggot,09RhTAi0nuzCs5KS2XWSs5,3.819242981536076
1.6611883226483284,0.035299075796740735,Eminem - Bitch Please II,7lgvU7WnwcNZ8dbGUz8yhP,3.02182746629823
